1,GenJCSFukuo,12,9500,990000,Residence - Private room,765000,Yes,No,No,
2,TCJLS,12,60000,736000,Shared house - Private room,780000,Yes,Yes,Yes,
3,TCJLS,18,60000,1076000,Shared house - Private room,1170000,Yes,Yes,Yes,
4,TCJLS,24,60000,1416000,Shared house - Private room,1560000,Yes,Yes,Yes,
5,KaiJLS,12,71600,872000,Shared house - Shared room,432000,Yes,No,Yes,Room shared by 2 people
6,KaiJLS,12,71600,872000,Homestay,1440000,Yes,No,Yes,Breakfast & dinner included. 3 or more people. Single room
7,ISIJLSTokyoTaka,18,77000,1119000,Residence - Private room,1576000,Yes,Yes,Yes,Shared room option available
8,ISIJLSTokyoIke,18,77000,1119000,Residence - Private room,1576000,Yes,Yes,Yes,Shared room option available
9,ISIJLSKyoto,18,77000,1119000,Residence - Private room,1360000,Yes,Yes,Yes,Shared room option available
10,ISIJLSNagano,18,77000,1029000,Residence - Private room,1320000,Yes,Yes,Yes,Shared room option available
11,KudIJLC,12,,825000,Homestay,1056000,Yes,Yes,Yes,Breakfast & dinner for weekdays. 3 meals for weekends
12,NihKJLS,18,100000,1050000,,,Yes,Yes,Yes,Accomodation non included
13,AKAM,18,68000,1095000,Residence - Private room,1020000,Yes,Yes,Yes,Shared room option available
14,IntercultIJ,18,80000,1155800,Residence - Private room,2430000,Yes,Yes,Yes,All rooms are fully furnished with a private kitchen toilet and bath. Free Internet access
15,IntercultIJ,18,80000,1155800,Private appartment,1350000,Yes,Yes,Yes,
16,KMJLS,18,50000,918000,Residence - Private room,782000,Yes,Yes,Yes,
17,ECCJLI,18,70000,988000,Dormitory,932200,Yes,Yes,Yes,
18,NIA,18,79000,832280,,,Yes,Yes,Yes,Accomodation non included
19,JLCI,12,75600,712800,,,Yes,Yes,Yes,Accomodation available
20,NihCen,12,86400,691200,,,Yes,No,Yes,Accomodation available (ShareHouse)
21,NihCen,18,86400,1036800,,,Yes,No,Yes,Accomodation available (ShareHouse)
22,SJLI,12,70000,730000,Dormitory,936000,Yes,Yes,Yes,
23,SJLI,18,70000,1095800,Dormitory,1261000,Yes,Yes,Yes,
24,SJLI,24,70000,1460000,Dormitory,1651000,Yes,Yes,Yes,
25,SJLI,18,70000,1095800,Homestay,2829744,Yes,Yes,Yes,2 meals included per day
