GenJCSFukuo,Genki Japanese & culture school - Fukuoka,Fukuoka,Hakata,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=Genki+Japanese+and+Culture+School+Fukuoka,http://genkijacs.com/
GenJCSTokyo,Genki Japanese & culture school - Tokyo,Tokyo,Shinjuku,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=Genki+Japanese+and+Culture+School+Tokyo,http://genkijacs.com/
TCJLS,Tokyo Central Japanese Language School,Tokyo,Shinjuku,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=%E6%9D%B1%E4%BA%AC%E4%B8%AD%E5%A4%AE%E6%97%A5%E6%9C%AC%E8%AA%9E%E5%AD%A6%E9%99%A2%2B%EF%BC%88TCJ%EF%BC%89%E6%97%A5%E6%9C%AC%E8%AA%9E%E5%AD%A6%E6%A0%A1,https://tcj-nihongo.co.jp/en/
KaiJLS,KAI Japanese language School,Tokyo,Shin-Obuko,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=%E3%82%AB%E3%82%A4%E6%97%A5%E6%9C%AC%E8%AA%9E%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB,http://en.kaij.jp/
ISIJLSTokyoIke,ISI Japanese Language School -Tokyo Ikebukuro,Tokyo,Ikebukuro,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=ISI%E6%97%A5%E6%9C%AC%E8%AA%9E%E5%AD%A6%E6%A0%A1%2B%E5%85%A5%E5%AD%A6%E7%9B%B8%E8%AB%87%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC,http://www.isi-education.com/
ISIJLSTokyoTaka,ISI Japanese Language School -Tokyo Takanobaba,Tokyo,Takanobaba,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=ISI%E3%83%A9%E3%83%B3%E3%82%B2%E3%83%BC%E3%82%B8%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%2B%E6%9D%B1%E4%BA%AC%2B-%2B%E9%AB%98%E7%94%B0%E9%A6%AC%E5%A0%B4%E6%A0%A1,http://www.isi-education.com/
ISIJLSKyoto,ISI Japanese Language School - Kyoto,Kyoto,Nakagyo,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=ISI%E3%83%A9%E3%83%B3%E3%82%B2%E3%83%BC%E3%82%B8%E3%82%B9%E3%82%AF%E3%83%BC%E3%83%AB%2B%E4%BA%AC%E9%83%BD%E6%A0%A1,http://www.isi-education.com/
ISIJLSNagano,ISI Japanese Language School - Nagano,Nagano,Ueda,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=%E9%95%B7%E9%87%8E%E3%83%93%E3%82%B8%E3%83%8D%E3%82%B9%E5%A4%96%E8%AA%9E%E3%82%AB%E3%83%AC%E3%83%83%E3%82%B8%2B%28NBL%29,http://www.isi-education.com/
KudIJLC,Kudan Institute of Japanese Language&Culture,Tokyo,Chiyoda,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=%E4%B9%9D%E6%AE%B5%E6%97%A5%E6%9C%AC%E6%96%87%E5%8C%96%E7%A0%94%E7%A9%B6%E6%89%80%E6%97%A5%E6%9C%AC%E8%AA%9E%E5%AD%A6%E9%99%A2,https://www.kudan-japanese-school.com/
NihKJLS,Nihon Kogakuin Japanese Language School,Tokyo,Kamata,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=l%27%C3%A9cole%2Bde%2Blangue%2Bjaponaise%2BTokyo%2BKogakuin,http://www.jst.ac.jp/us/index.html
AKAM,Akamonkai,Tokyo,Nippori,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=Akamonkai+Japanese+Language+School,https://www.akamonkai.ac.jp/english/
EFT,Education First Tokyo,Tokyo,Shibuya,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=%E7%95%99%E5%AD%A6%E3%83%BB%E6%B5%B7%E5%A4%96%E7%95%99%E5%AD%A6%E3%81%AFEF,https://www.ef.com/wwfr/
IntercultIJ,Intercultural Institute of Japan,Tokyo,Akihabara,https://www.google.com/maps/embed/v1/place?key=AIzaSyBeerEti8uxGi9QiqSeYC7QpsxSpGGMD1k&q=Intercultural+Institute+of+Japan+Akihabara+School,http://www.incul.com/eng/japanese_school/
